text	vaccine	attitude	side_effects
It’s keeping big pharma fed for election time, all ya have to do is follow the money. The owner of Pfizer is a veterinarian and Dr. Malone who created the MRNA’s for the jab was shut down on Twitter and censored, tells you everything!	Pfizer	Negative	None
Pfizer and moderna have like 95% of efficacy, It means that if you get covid, there is a 95% chance of you barely getting sick. All vaccines prevent going to the hospital, sorry 4 my bad english :)	Pfizer	Positive	None
Pfizer and moderna have like 95% of efficacy, It means that if you get covid, there is a 95% chance of you barely getting sick. All vaccines prevent going to the hospital, sorry 4 my bad english :)	Moderna	Positive	None
No I kind of understand, had both, flu was worse, even after shot, last week had Covid, was serious cold and sore throat, this was after getting two shots of Pfizer, no boost, friend had a bad reaction to booster.	Pfizer	Negative	Muscle Pain,Chills
The MB government can shove their COVID-19 Johnson & Johnson, AstraZeneca, Moderna vaccines where the sun don't shine. It's either Pfizer WITH A GUARANTEED SECOND DOSE IN 30 DAYS or nothing. I'm tired of them screwing with playing bureaucratic games against maker instructions!	Pfizer	Neutral	None
The MB government can shove their COVID-19 Johnson & Johnson, AstraZeneca, Moderna vaccines where the sun don't shine. It's either Pfizer WITH A GUARANTEED SECOND DOSE IN 30 DAYS or nothing. I'm tired of them screwing with playing bureaucratic games against maker instructions!	Moderna	Neutral	None
The MB government can shove their COVID-19 Johnson & Johnson, AstraZeneca, Moderna vaccines where the sun don't shine. It's either Pfizer WITH A GUARANTEED SECOND DOSE IN 30 DAYS or nothing. I'm tired of them screwing with playing bureaucratic games against maker instructions!	AstraZeneca	Neutral	None
I’m 57. Had Pfizer. Was a little sleepy the day of and the day after the 2nd vaccine and my arm was a little sore but that was it. My 26-year old daughter had Moderna. No side effects for her.	Pfizer	Neutral	Tiredness,Muscle Pain
I’m 57. Had Pfizer. Was a little sleepy the day of and the day after the 2nd vaccine and my arm was a little sore but that was it. My 26-year old daughter had Moderna. No side effects for her.	Moderna	Neutral	None
I was a bit tired, but my arm hurt like absolute hell for about 36 hours. No other effects. (I got a Pfizer booster.)	Pfizer	Neutral	Tiredness,Muscle Pain
Sore arm (like really sore) for a couple of days and that was it. As a booster it’s a half dose, which still has more mRNA that a full dose of Pfizer	Pfizer	Neutral	Muscle Pain
Not me having fever because of the AstraZeneca vaccine	AstraZeneca	Neutral	Fever
i felt literally the same way with the moderna vaccine just like. achey and sluggish but it hit me right as i was about to go to sleep and i felt fine the next morning	Moderna	Neutral	Tiredness,Muscle Pain
So apparently the Pfizer vaccine can cause swelling in the lymph nodes as well? People have gone to the doctor thinking they have breast cancer and have gone up entire bra sizes. Did they do any testing on people that weren’t cis men?	Pfizer	Neutral	Swelling
Just a sore arm both times. Husband and I had the Moderna vaccines. #FullyVaxxed #MinorInconvenience	Moderna	Neutral	Muscle Pain
My first two shots were Pfizer, and I just got my booster yesterday which was a half dose of Moderna and I woke up today feeling pretty achey. I felt nothing from the first two, and I'm immunocompromised (no spleen). Definitely feeling different after the booster.	Pfizer	Neutral	None
My first two shots were Pfizer, and I just got my booster yesterday which was a half dose of Moderna and I woke up today feeling pretty achey. I felt nothing from the first two, and I'm immunocompromised (no spleen). Definitely feeling different after the booster.	Moderna	Neutral	Muscle Pain
Got my first dose of #AstraZenaca #COVID19 #vaccine on Friday 28 May at 6pm. Since last night I’m having side effects of severe body aches, high fever and head aches. It seems worse than covid19 symptoms. Is this normal? 	AstraZeneca	Neutral	Headache,Muscle Pain,Fever
I was fine. First AZ shot was way way worse. Just a sore arm with Moderna booster	Moderna	Neutral	Muscle Pain
I was fine. First AZ shot was way way worse. Just a sore arm with Moderna booster	AstraZeneca	Negative	None
Saw a couple of people reporting bruising after vaccine with AstraZeneca. With prolonged fever and pain. Not sure if its serious.	AstraZeneca	Neutral	Muscle Pain,Fever
My husband was sick for several days after his first shot of Astra zeneca. We both received our second shot of the Astra zeneca vaccine and other than a sore arm both of us feel fine.	AstraZeneca	Neutral	Muscle Pain,Nausea
He thinks they haven’t been studied enough for children. He had the J&J vaccine. I had Pfizer. I did have a bad rash from my Pfizer vaccine. I’m hoping my son doesn’t.	Pfizer	Neutral	Redness
I had two AZ and a Pfizer Booster. Nothing at all from the AZ. Only a slightly sore Arm the day after from the Pfizer. Mrs had two Pfizer and a Pfizer Booster. Only a slightly sore Arm the day after each.	Pfizer	Neutral	Muscle Pain
I had two AZ and a Pfizer Booster. Nothing at all from the AZ. Only a slightly sore Arm the day after from the Pfizer. Mrs had two Pfizer and a Pfizer Booster. Only a slightly sore Arm the day after each.	AstraZeneca	Neutral	None
Day 1 after getting the Pfizer vaccine - soreness in the arm that appears sometimes but isn't persistent, and an inordinate urge to tell people I got the vaccine Could've been worse tbf	Pfizer	Neutral	Muscle Pain
Just got over COVID. Vaxxed 2x Moderna +1 Pfizer. 12/26 Symptomatic, 100.9 F 12/29 PCR test, fever gone 1/2 Test + 1/3 Symptoms gone Still took a few more days for brain fog to clear, and still a little fatigued. Vaccines kept this like a bad cold. Still no fun. Get vaxxed.	Pfizer	Neutral	Fever
Just got over COVID. Vaxxed 2x Moderna +1 Pfizer. 12/26 Symptomatic, 100.9 F 12/29 PCR test, fever gone 1/2 Test + 1/3 Symptoms gone Still took a few more days for brain fog to clear, and still a little fatigued. Vaccines kept this like a bad cold. Still no fun. Get vaxxed.	Moderna	Neutral	Fever
So…any side effects from Moderna as a second vaccine I should be aware of. I had a headache for a couple days and muscle soreness at the injection site for Pfizer but due to availability I’m getting Moderna for dose 2.	Pfizer	Neutral	Muscle Pain
So…any side effects from Moderna as a second vaccine I should be aware of. I had a headache for a couple days and muscle soreness at the injection site for Pfizer but due to availability I’m getting Moderna for dose 2.	Moderna	Neutral	Headache
if this helps at all, I got the first dose (Moderna) 6 days ago and I have had 0 side effects. Even the typical vaccine shoulder pain went away after less than 2 days	Moderna	Neutral	Muscle Pain
Makes me afraid to get the booster LOL I got moderna the first time for the 2. Second one felt like I got hit with a damn truck. Booster gonna take my ass out. Off topic??? You look super cute even super sick????Witchcraft???	Moderna	Neutral	Muscle Pain,Nausea
Wife & I (74) are vaxxed and boosted with Moderna since the first week it became available. So far, no side effects and not sick. We know unvaxxed people who have been very sick (and 2 deaths), but no vaxxed people who have been sick. Small NC county with under 40% vaxxed.	Moderna	Neutral	None
Yep. Not even a sore arm. But OH felt absolutely rubbish after his booster. We both were AZ first two doses and Pfizer for booster.	Pfizer	Neutral	Muscle Pain
Yep. Not even a sore arm. But OH felt absolutely rubbish after his booster. We both were AZ first two doses and Pfizer for booster.	AstraZeneca	Neutral	Muscle Pain
I got my first moderna vaccine this morning and I actually was a little tired this afternoon but so far so good	Moderna	Neutral	Tiredness
I got Covid and had both doses of Pfizer. Covid symptoms were mild, and I had no side effects from the vaccine other than a slightly sore delt.	Pfizer	Neutral	Muscle Pain
I got the moderna vaccine at like 12 and I feel like I’ve taken sleeping pills I’m so tired is this normal	Moderna	Neutral	Tiredness
Pfizer Hand pain anthe	Pfizer	Neutral	Muscle Pain
Heads up if you're taking the vaccine, especially AstraZeneca and you're under 40yo, make sure you can take 2-3 days off! I got a pretty bad fever from it	AstraZeneca	Neutral	Fever
Tired and a little achy for a day. Also itchy and small rash around the injection site. I had the Moderna booster.	Moderna	Neutral	Redness,Tiredness,Muscle Pain
Side effects of the Pfizer vaccine tend to appear more intensely in the second dose too :/. These side effects are caused by the normal reaction of the immunitary system and is present particularly in young people. Usual symptoms are : headaches, fatigue and muscle pain	Pfizer	Neutral	Headache,Tiredness,Muscle Pain
Oh, I'm sorry to hear that! I got my booster yesterday (Moderna) and I'm fine today except for a sore arm.	Moderna	Neutral	Muscle Pain
My first vaccine was AZ and my second shot was Moderna. I noticed this time around that my fever did not develop till 30 hours after the shot. I wonder why such a delay. With my AZ the fever hit hard by hour 8.	Moderna	Neutral	Fever
My first vaccine was AZ and my second shot was Moderna. I noticed this time around that my fever did not develop till 30 hours after the shot. I wonder why such a delay. With my AZ the fever hit hard by hour 8.	AstraZeneca	Neutral	Fever
Double Moderna -1st dose : very marked pain in the arm (like no other vaccination) - 2nd dose : fever (39C) and severe flu like symptoms for 24h and dizziness up to 72h. Nothing alarming so far but clearly the most unpleasant experience in terms of vaccines I ever had.	Moderna		Tiredness,Muscle Pain,Fever
So Astra zenica is causing blood clots I wonder how many had stacked up on pain killers before the shot. Honestly that is more dangerous than the vaccine and you won't know if you actually get side effects. #COVIDVaccination AstraZeneca #COVID19	AstraZeneca	Neutral	Swelling
I don't get the flu vaccine either. Never had it. My friend had severe pain immediately after 2nd Pfizer. Didn't go to doc just felt it would pass His pain suddenly stopped on the 14th b4 bed. He went to sleep and died in the middle of the night on April 15th	Pfizer	Neutral	Muscle Pain
A big F no! I had to get moderna for my second jab as I was forced to by my job and I'm in bed with severe flu like symptoms. Almost everyone I have talked to who got boosted with moderna were bed ridden for days. I haven't been sick in 2 effing years and now I am. Eff them.	Moderna	Neutral	Nausea
So 8 years ago I had myocarditis and pericarditis which Was when I was in the hospital because my heart was tearing up, and after my first dose of Moderna I felt the exact same pain I felt then, so there’s definitely a link between the vaccine and infection	Moderna	Neutral	Muscle Pain
No one is not being open & forthcoming about the possible side effects from the vaccine. I had a sore arm after Moderna #1, nothing after #2. Tetanus shots cause more side effects. I've heard the Shingles vaccine causes pretty bad side effects - are you going after that too?	Moderna	Neutral	Muscle Pain
I have several family members that got Pfizer. Old and sickly people and young physically fit people. I pray it don't harm anybody.	Pfizer	Neutral	Nausea
I had both shots of the Pfizer vaccine as of may 7th. I feel fine. The only side effect I felt was a little muscle soreness, but that was it.	Pfizer	Neutral	Muscle Pain
I felt shit the next day but by evening was fine. Had a sore arm for a couple of days after moderna booster. My original johnson & johnson i felt like death for a day	Moderna	Neutral	Muscle Pain
moderna -- nag chills nung madaling araw tas headache, nung pagkagising feeling masusuka ganon hehe	Moderna	Neutral	Headache,Chills
I got the Pfizer and felt flu-ish after the first dose and fine after 2nd. Had my first Shingrix vaccine (for shingles) last Saturday and, no joke, that one was 10 times worse. Fever and chills for 48 hours and a week later you can still see the red area on my arm.	Pfizer	Neutral	Redness,Chills,Fever
Sore arm for a couple of days. (moderna)	Moderna	Neutral	Muscle Pain
So 3 Moderna shots and still got very ill with Covid. So what, exactly, does the jab do? We've been told repeatedly by our Rulers and Experts that if you inject it into your body, you won't get sick.	Moderna	Neutral	None
Moderna second vaccine was April 14th. #1 Day 1: Sore arm #1 Day 2: Sorer arm, felt fine #2 Day 1: Sore arm #2 Day 2: Sorer arm, fatigue and chills; slept for most of the day and awoke refreshed with #gratitude #MaskedUp #vaccinated	Moderna	Neutral	Tiredness,Muscle Pain,Chills
More fear mongering. Our household all had the moderna or pfizer vaccine and nothing but sore arms and a little fatigue. Def no where near scary. I have heard dozens of scary stories of friends and neighbors who have had covid though. My neighbor died from it.THAT'S scary.	Pfizer	Neutral	Muscle Pain
More fear mongering. Our household all had the moderna or pfizer vaccine and nothing but sore arms and a little fatigue. Def no where near scary. I have heard dozens of scary stories of friends and neighbors who have had covid though. My neighbor died from it.THAT'S scary.	Moderna	Neutral	Muscle Pain
Unbelievable! I got Pfizer 1st, Moderna 2nd, no problem. Friend got Pfizer x 2 and very sick after. Cmon ppl, it’s FREE, get your shot for yourself and all of us. Selfish and stupid to brand shop for vaccines	Pfizer	Neutral	Nausea
Unbelievable! I got Pfizer 1st, Moderna 2nd, no problem. Friend got Pfizer x 2 and very sick after. Cmon ppl, it’s FREE, get your shot for yourself and all of us. Selfish and stupid to brand shop for vaccines	Moderna	Neutral	None
I am sick from the moderna vaccine and slept through it, watching it now. What FF game did they show?	Moderna	Neutral	Nausea
Nope! I had all 3 Moderna and I didn't get sick after any of them. I had a really sore arm for about 24 hours and was tired the next day. But that's it!	Moderna	Neutral	Tiredness,Muscle Pain
Had moderna booster (following AZx2) around 1ishpm. Later that evening, arm felt sore around the site and looked red and a bit swollen. Did not get the full dead arm or other symptoms like with 1st jab. Has stayed tender and occasionally itchy for about a week.	Moderna	Neutral	Muscle Pain
Hey kids, get your vax on! 24 hours after my first Pfizer shot and I have no side effects... a but of a sore shoulder where they jabbed me, but otherwise 100% all good. Let's get the vaccine and get on with living.	Pfizer	Neutral	Muscle Pain
I got the Pfizer vaccine in January- no ill effects after both doses apart from a sore arm which was more sore after the 2d dose. It lasted about 24hrs 1st dose and 36-48hrs after 2d.	Pfizer	Neutral	Muscle Pain
I had my booster (Moderna Spikevax) on Monday. Tuesday I had a very mild headache (1/10), slight drowsiness, and slightly tight neck shoulders the next day. Barely noticeable. Everyone is reacting differently.	Moderna	Neutral	Headache,Tiredness,Muscle Pain
63/F went to Yuen Wo Road Sports Centre for vaccination on March 10. After receiving the vaccine, she suffered from hypertension and chest pain. She was sent to Prince of Wales Hospital at 1341 hours in a stable condition. After treatment, she was discharged. SINOVAC	Sinovac	Neutral	Muscle Pain
Vaccines are by definition protect you from getting sick. Now all the definitions change to suit the politics. Fauci lied, Pfizer, Moderna J&J lied. We the people are paying the price.	Pfizer	Negative	None
Vaccines are by definition protect you from getting sick. Now all the definitions change to suit the politics. Fauci lied, Pfizer, Moderna J&J lied. We the people are paying the price.	Moderna	Negative	None
"A petitioner who was diagnosed with pericarditis after the second vaccination of Pfizer vaccine on August 25 last year, was immediately taken to the emergency room because her heart was full of water and she felt great pain. ""I'm still being treated because I haven't recovered """	Pfizer	Neutral	Muscle Pain
I feel you. Mine got worse after the Pfizer vaccine jabs. Epsom salts baths help, and I have also found just doing gentle stretches with a resistance band helps a lot. That horrible balance between moving too much and not moving enough when you're in pain.	Pfizer	Neutral	Muscle Pain
I just got the Shingrix before I got Covid vaccine. No issues except for sore arm. It’s an mRNA vaccine like Pfizer and Moderna.	Pfizer	Neutral	Muscle Pain
I just got the Shingrix before I got Covid vaccine. No issues except for sore arm. It’s an mRNA vaccine like Pfizer and Moderna.	Moderna	Neutral	Muscle Pain
I didn’t have any reactions except a sore shoulder and a headache for the shots or the Moderna booster	Moderna	Neutral	Headache,Muscle Pain
Chile is a chilling example for Turkey which is mainly relying on Sinovac vaccine	Sinovac	Negative	None
Moderna 2 was the worst (chills, high fever, but for less than 24 hrs). Very sore arm for both. But zero side effects with Moderna 3	Moderna	Neutral	Muscle Pain,Chills,Fever
Had my booster yesterday. Side effects Pfizer worse than AZ for me. Mild fever but body aches all through the night. No more fever today. Body aches slowly going away. Rest day for me. Don’t forget to report side effects on MySj after vaccination.	Pfizer	Neutral	Muscle Pain,Fever
I had my booster, (Moderna) late in the day around 5pm. Went to bed 7 hrs later feeling ok but had a very disturbed sleep. I woke early with a headache and really fatigued, not just tired but exhausted. Took a couple of Panadol and stayed in bed till 1pm. Next day I was fine.	Moderna	Neutral	Headache,Tiredness
Pfizer is a mRNA vaccine that 'teaches' your cells how to build a response to a particular nasty. This should be an ongoing copy process by the cells, so did Pfizer build a method into the vaccine to stop that copying so everyone needs boosters for the rest of their lives?	Pfizer	Neutral	None
I had Astra Zenica the first 2. I had some side effect for a few weeks, feeling tired etc but they gradually got better. After the Pfizer one I'm like a burst couch I just can't function.	Pfizer	Neutral	None
I had Astra Zenica the first 2. I had some side effect for a few weeks, feeling tired etc but they gradually got better. After the Pfizer one I'm like a burst couch I just can't function.	AstraZeneca	Neutral	Tiredness
In the UK, the main vaccine being used is Astra Zeneca which can produce some strong side effects the day after. My son was quite unwell for a couple of days. Pfizer and Moderna use a different technology and seem to have fewer side effects, apart from a sore arm.	Pfizer	Neutral	Muscle Pain
In the UK, the main vaccine being used is Astra Zeneca which can produce some strong side effects the day after. My son was quite unwell for a couple of days. Pfizer and Moderna use a different technology and seem to have fewer side effects, apart from a sore arm.	Moderna	Neutral	Muscle Pain
In the UK, the main vaccine being used is Astra Zeneca which can produce some strong side effects the day after. My son was quite unwell for a couple of days. Pfizer and Moderna use a different technology and seem to have fewer side effects, apart from a sore arm.	AstraZeneca	Neutral	No Details
Has anyone had any delayed reactions for Pfizer vaccine? Especially body ache? I’ve been totally fine until yesterday where nearly every inch of my body was in pain that it brought me to tears. I had my vaccine 5 days ago.	Pfizer	Neutral	Muscle Pain
I experienced the same thing with my first Moderna shot. Went away in a couple days but it was very sore.	Moderna	Neutral	Muscle Pain
Seven hours out on my second AstraZeneca vaccination and so far just like the first, absolutely no side effects, not even soreness at the injection point. I'm hearing down here lack of side effects is kind of the hallmark of the AZ vaccine. Very few people reporting anything.	AstraZeneca	Neutral	No Details
Here’s a positive for the Pfizer vaccine and a thumbs down for J&J. My son and his Dad spent the Labor Day weekend at Oswego Speedway. They next day my son was pretty sick and tested positive for covid. He had the J&J. Today is 15th day and his Dad is fine. He had 2 dose Pfizer.	Pfizer	Neutral	No Details
Is it normal to get side effects such as headache and cold sweat 4 days after 1st vaccine shot (moderna)	Moderna	Neutral	Headache,Chills
Maybe if we had choices of vaccines more people would get boosted. Have 2 almost identical vaccines is not a choice. Bring AstraZeneca back I bet more people will get their third dose. All I know are several people triple vaxxed with covid. Being sick sucks stop saying it's mild.	AstraZeneca	Neutral	No Details
Yes, I was very sick 24 hours after my second Moderna vaccine, but I’d gladly do it again if I have to. #VaccinesWork	Moderna	Neutral	No Details
Ah sorry. you are entitled to get her off your tits a bit. She is very smart. She works on moderna vaccines! This is why she’s my teacher, if she didn’t actually work on the vaccines and was doing something else, like a grifter, she wouldn’t be my teacher.	Moderna	Neutral	None
cw: vaccine 7 hours later, I feel mostly appropriate, except I fell asleep standing up and the arm punch at injection site (Pfizer) is comparable to my long bone pain on my WORST pain days. Anything else might, honestly, be attributable to the time change. Whee, mRNA?	Pfizer	Neutral	Tiredness,Muscle Pain
Had Moderna and four days later, swollen arm and fever.	Moderna	Neutral	Muscle Pain,Fever
"Why should anyone get vaccinated for cold symptoms? ""Fully vaxxed"" people (whatever that means today) are catching and spreading it. Are you getting Pfizer/Moderna kickbacks?"	Pfizer	Negative	None
"Why should anyone get vaccinated for cold symptoms? ""Fully vaxxed"" people (whatever that means today) are catching and spreading it. Are you getting Pfizer/Moderna kickbacks?"	Moderna	Negative	None
Side effects of my booster shot: it was worst than my first and second dose, Sinovac, which is lighter. And my booster shot is Moderna, which is stronger. I had high fever and body ache esp. my vaccined arm.	Moderna	Neutral	Muscle Pain,Fever
Side effects of my booster shot: it was worst than my first and second dose, Sinovac, which is lighter. And my booster shot is Moderna, which is stronger. I had high fever and body ache esp. my vaccined arm.	Sinovac	Neutral	No Details
Simon I am 58 years of age .I got my first AZ vaccine 8 weeks and 4 days ago. My younger siblings are fully vaccinated with Pfizer vaccine.I reached out to HSE today was told it will take between 8/12 weeks.why	Pfizer	Neutral	None
One suspects that if the Astra Zeneca Covid Vaccine was remarketed in Honey Soy AZ and Sweet Chilli AZ varieties then they’d move a hell of a lot more. #covid19sydney #COVID19Aus	AstraZeneca	Neutral	None
I felt ok after 1st two. Booster Moderna didn’t feel right for about a week. Not sick per se just nauseous, slow and a sucky sore arm.	Moderna	Neutral	Muscle Pain
Yes. Pfizer called it a stomachache. The only data shows 1 in 1300 will have a serious reaction.	Pfizer	Neutral	Muscle Pain
In Israel people who had received the Pfizer vaccine got sick with the Delta variant.	Pfizer	Neutral	No Details
I can not tell anyone what to do, that’s not my decision, but I got Pfizer as my booster. I had zero side effects (maybe a sore arm around the injection point)	Pfizer	Neutral	Muscle Pain
pfizer. my first and 2nd wer sinovac. didnt have any reactions with the first 2 but with pfizer, i got knocked out the next day. fever, headache, body pains plus pain at the injection site	Pfizer	Neutral	Headache,Muscle Pain,Fever
pfizer. my first and 2nd wer sinovac. didnt have any reactions with the first 2 but with pfizer, i got knocked out the next day. fever, headache, body pains plus pain at the injection site	Sinovac	Neutral	None
Me and my wife had the booster (Pfizer) with no side effects other than a sore arm	Pfizer	Neutral	Muscle Pain
I had a slight headache, and was slightly tired. That said I am a student with 3 kids. My flu shot arm hurt more than my pfizer arm. It was uneventful and life went on as normal. My second shot I stayed in bed all weekend and felt flu like.	Pfizer	Neutral	Headache,Tiredness,Muscle Pain
Omdss get well soon. I’m fully vaccinated n the first two doses was AstraZeneca and I never got sick. But then the booster jab literally messed me up differently	AstraZeneca	Neutral	None
BECAUSE YOU MUST TAKE THE VACCINE AND GET THE NEW PFIZER OR MERCK ANTIVIRAL OR IF YOU GET SICK ENOUGH REMDESIVIR SO THAT YOU MIGHT DIE QUICKER.	Pfizer	Neutral	None
A week after my Moderna vaccine, I woke up with an itchy arm, and the area around the vaccination site is slightly swollen and red. Apparently it's not uncommon. I have nappy rash cream on now.	Moderna	Neutral	Redness,Swelling,Muscle Pain
I got my 2nd AstraZeneca Vaccine. I was very ill with the first but this was worlds different. I have a sore arm, some muscle aches and pains but that's been it. I feel a lot of relief because I was anxious as heck to get this vaccine but I know how important it is to get it!	AstraZeneca	Neutral	Muscle Pain
NPR and other Pfizer- owned media outlets have backed themselves into a corner. They can’t run from the science (99.9% Omicron cases R unnoticed or, at worst, a “cold”) but must maintain their pro-lockdown, pro-passbook, pro-big pharma propaganda. Peace	Pfizer	Neutral	None
What a rough week. Still recovering but no longer in constant pain like before. People who took Pfizer booster need to share their experience, mine with moderna was not pleasant. I would still do it again tho coz of the benefits.	Pfizer	Neutral	None
What a rough week. Still recovering but no longer in constant pain like before. People who took Pfizer booster need to share their experience, mine with moderna was not pleasant. I would still do it again tho coz of the benefits.	Moderna	Neutral	Muscle Pain
That Pfizer Moderna booster mix got us down and out. First Lady woke up at 5 with chills and headaches. Deltacron outchea be safe. #COVID19 #CoronaUpdate #coronavirus	Pfizer	Neutral	Muscle Pain,Chills
That Pfizer Moderna booster mix got us down and out. First Lady woke up at 5 with chills and headaches. Deltacron outchea be safe. #COVID19 #CoronaUpdate #coronavirus	Moderna	Neutral	Muscle Pain,Chills
moderna booster last night, nausea just showed up. client meeting in a half hour, gonna barf on camera.	Moderna	Neutral	Nausea
One day after my second dose of Sinovac. Body temperature is normal. No signs of fever, cough, headache, or any of the usual symptoms. I even managed to work full shift from 9-6 with barely 3 hrs of sleep after the inoculation.	Sinovac	Neutral	None
There is no comparison to yellow fever it was trialled before putting out to the gen public. Issue here is that this is a completely different vaccination unlike others, no long term studies. Pfizer won’t release them for 55 years ..good on him for refusing his body is his job.	Pfizer	Neutral	None
Cipla tells CNBC-TV18, co is currently facilitating Moderna for import of donated vaccines into the country. No commercial supplies or deal has been reached yet	Moderna	Neutral	None
So far on my journey with the Covid-19 vaccinations specifically Pfizer, I have experienced this. 1.)First Shot, Extreme Chills, Swollen Lips, Hives 2.)Second Shot, Right Arm feels like it was Sawed Through, Extreme Pain. In a few weeks I'll be a lot more immune,	Pfizer	Neutral	Swelling,Muscle Pain,Chills
I HAD THE PFIZER VACCINE AND I HAD NOT ONE COMPLICATION NO PAIN NO SWELLING NOTHING PLEASE PEOPLE ESPECIALLY YOUNG PEOPLE GET VACCINATED IT COULD SAVE YOUR LIFE IT COULD SAVE MY LIFE OR ANYBODY'S LIFE.	Pfizer	Positive	None
Lie number one. COVID has not “killed” anywhere near 800k people, not even close. The majority have died from primary sicknesses complicated by COVID. Try, at least try telling the truth. Moderna vaccinated and I’ve had it twice, like most w/o underlying issues it’s a breeze.	Moderna	Neutral	None
Scary stuff. I had J&J last year and my doc wants me to get boosted because of some risk factors for Covid. I’m scheduled for Friday to get Moderna but I’m unsettled about it and not sure if I want to. Don’t know what to do. I’m retired and don’t go out much, just grocery.	Moderna	Neutral	None
I was in and out of the Convention Centre in just over an hour, in a long but fast-moving line-up, and today feeling nothing but a slight shoulder pain and massive gratitude towards the icon for her part in developing my Moderna booster. How about you? All ok?	Moderna	Neutral	Muscle Pain
I got Pfizer and had a fever, headache, & body ache the next morning but it was gone by mid afternoon. I definitely recommend lots of water but if you have to take something DONT take Ibuprofen bc it reduces the immune response which is the whole point of the vaccine.Take Tylenol	Pfizer	Neutral	Headache,Muscle Pain,Fever
Other therapeutics bogged down in red tape. Scientists & Dr’s with other treatments smeared, censored and blocked from even speaking. But we got Pfizer. Open your eyes America. Fauci, FDA, CDC, MSNBC and corporate America and politicians ARE NOT on your side. It’s all Pfizer	Pfizer	Positive	None
Sore arm and a bit tired for a couple of days after Pfizer booster. Otherwise all good. 2xAZ originally.	Pfizer	Neutral	Tiredness,Muscle Pain
Hope he feels better soon! My first two shots o' Pfizer went off without a hitch, but I got every side effect and then some with my Moderna #booster. Even eye pain, FFS! Still, no regrets. Looking forward to being able to integrate back into society when it's safe ;)	Pfizer	Neutral	None
Hope he feels better soon! My first two shots o' Pfizer went off without a hitch, but I got every side effect and then some with my Moderna #booster. Even eye pain, FFS! Still, no regrets. Looking forward to being able to integrate back into society when it's safe ;)	Moderna	Neutral	None
Anyone else had the AstraZeneca vaccine and found themselves pissing like a racehorse for the following 72 hours? Thoroughly inconvenient when you already have muscle ache. Can't see it mentioned as a side-effect anywhere...	AstraZeneca	Neutral	Muscle Pain
Happened to me too. Moderna, first shot, had arm pain for 2 days but otherwise felt fine. Second shot, arm pain was least of it. Reaction eased the 2nd night & was gone two mornings after the shot. Definitely worth it, when I realized I'd made it safely through full vaccination.	Moderna	Neutral	Muscle Pain
For people who has side effects after second Pfizer how long did they last? Had vaccine 4.30pm yesterday and 24 hours on I’ve got a 38.5 temp, headache, ache all over and bit of a numb face. Have 2 appointments in town tomorrow and wondering if I’m going to be ok for them!	Pfizer	Neutral	Headache,Fever
"Moderna- ""modest reduction"" in neutralizing antibodies against Delta with its mRNA vaccine. ""Still breakthrough infections after vaccination, more so with Delta but current vaccines do provide excellent protection against sickness & death vs no vaccination,"" Christina Pagel, PhD."	Moderna	Neutral	None
